name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name
Famana Quizera,104000,18,Portugal,55,60,71,40,38,0,substitute,27,625000,Borussia Mionchengladbach
Arribas,364000,18,Spain,46,55,71,36,41,0,substitute,30,625000,Real Madrid
D. Rensch,26000,17,Netherlands,43,56,66,63,67,0,substitute,15,550000,Ajax
H. Nicolussi Caviglia,416000,20,Italy,51,61,62,59,57,0,substitute,41,650000,Juventus
T. Musel,260000,20,Germany,61,57,66,25,27,0,substitute,26,675000,Borussia Mionchengladbach
N. Shinton,52000,19,Belgium,0,0,0,11,12,54,goalkeeper,33,550000,Club Brugge
M. Doucoure,260000,22,France,31,48,54,65,62,0,substitute,4,550000,Borussia Mionchengladbach
N. Tiknizyan,26000,21,Russia,53,56,62,51,51,0,midfielder,71,575000,PFC CSKA Moscow
K. Maradishvili,26000,20,Russia,54,59,63,62,60,0,midfielder,22,550000,PFC CSKA Moscow
M. BuSka,364000,20,Poland,0,0,0,10,14,60,goalkeeper,30,725000,Paris Saint-Germain
Junior Brumado,208000,21,Brazil,58,45,67,31,21,0,substitute,74,550000,Midtjylland
A. Ali Mohamed,208000,21,Comoros,39,53,66,63,69,0,substitute,31,500000,Marseille
L. Coccolo,468000,22,Italy,35,42,58,70,70,0,substitute,53,450000,Juventus
J. Villalba,260000,21,Paraguay,66,49,64,23,16,0,substitute,20,475000,Borussia Mionchengladbach
A. Sagna,208000,21,Senegal,59,44,69,39,22,0,substitute,7,475000,Club Brugge
C. Anene,260000,27,Norway,58,51,60,18,15,0,substitute,52,350000,Midtjylland
B. Rotenberg,26000,34,Finland,38,52,50,63,62,0,substitute,28,110000,Lokomotiv Moscow
J. Italiano,104000,18,Australia,55,56,68,38,30,0,substitute,44,575000,Borussia Mionchengladbach
T. Harwood-Bellis,208000,18,England,35,49,53,63,62,0,substitute,78,525000,Manchester City
L. Unbehaun,104000,19,Germany,0,0,0,10,11,63,goalkeeper,25,450000,Borussia Dortmund
R. Richard,104000,18,France,37,48,58,61,60,0,substitute,42,475000,Marseille
Adrian Bernabe,468000,19,Spain,55,56,69,38,36,0,substitute,82,550000,Manchester City
J. Rahou,39000,17,France,58,63,60,54,51,0,substitute,39,500000,Marseille
C. Kelleher,312000,21,Republic of Ireland,0,0,0,10,14,58,goalkeeper,62,475000,Liverpool
A. Truffert,104000,18,France,39,53,61,61,60,0,substitute,31,475000,Rennes
Javi Vazquez,104000,19,Spain,34,52,49,62,60,0,substitute,33,425000,Sevilla
A. Kamardin,104000,18,France,29,41,43,65,61,0,substitute,37,425000,Marseille
J. Da Riva,208000,19,Italy,51,61,61,53,49,0,substitute,20,475000,Atalanta
W. Omari,208000,20,France,33,46,48,66,61,0,substitute,38,400000,Rennes
S. Drljacça,208000,21,Germany,0,0,0,8,12,57,goalkeeper,40,300000,Borussia Dortmund
N. Diallo,260000,24,France,34,46,61,66,64,0,substitute,37,300000,Rennes
T. Doyle,260000,18,England,47,62,63,56,48,0,substitute,69,475000,Manchester City
D. Traore,104000,17,Ivory Coast,60,53,68,16,22,0,substitute,79,425000,Atalanta
F. Hartmann,208000,19,Germany,64,48,63,26,20,0,substitute,35,450000,RB Leipzig
Novoa,104000,17,Spain,63,45,62,20,18,0,substitute,38,425000,RB Leipzig
G. Isaksen,156000,19,Denmark,54,52,64,40,29,0,substitute,45,450000,Midtjylland
U. Bertelli,36400,16,France,50,60,61,58,53,0,substitute,38,400000,Marseille
J. Jaloliddinov,26000,18,Uzbekistan,60,58,64,27,32,0,substitute,23,425000,Lokomotiv Moscow
V. Sourlis,26000,17,Greece,57,58,60,56,55,0,substitute,90,400000,Olympiacos
T. Van Den Keybus,104000,19,Belgium,51,58,62,39,48,0,substitute,97,450000,Club Brugge
A. Apostolopoulos,26000,17,Greece,41,47,55,61,60,0,substitute,26,375000,Olympiacos
D. Kulikov,26000,22,Russia,40,60,59,61,58,0,substitute,69,375000,Lokomotiv Moscow
N. Iosifov,26000,19,Russia,62,59,63,27,29,0,substitute,68,350000,Lokomotiv Moscow
S. Nimely,26000,21,Liberia,60,53,59,41,45,0,substitute,66,350000,Spartak Moscow
Genaro,156000,22,Spain,46,60,60,57,58,0,substitute,36,325000,Sevilla
F. Rossi,312000,29,Italy,0,0,0,17,16,58,goalkeeper,31,150000,Atalanta
K. Bafounta,104000,18,France,50,54,60,62,50,0,substitute,34,300000,Borussia Dortmund
A. Bakir,208000,19,Germany,49,54,67,26,24,0,substitute,39,325000,Borussia Dortmund
S. Ngapandouetnbu,26000,17,Cameroon,0,0,0,10,13,54,goalkeeper,1,250000,Marseille
M. Ageev,26000,20,Russia,63,42,54,19,22,0,substitute,92,350000,Lokomotiv Moscow
A. Mironov,26000,20,Russia,49,60,57,64,62,0,substitute,83,300000,Lokomotiv Moscow
K. Tzolakis,26000,17,Greece,0,0,0,12,12,51,goalkeeper,88,210000,Olympiacos
D. Borkowski,156000,18,Germany,57,42,58,20,18,0,substitute,41,275000,RB Leipzig
E. Damergy,26000,17,Tunisia,0,0,0,13,10,54,goalkeeper,40,170000,Rennes
S. Lammens,26000,17,Belgium,0,0,0,15,12,43,goalkeeper,91,170000,Club Brugge
S. Asoma,26000,17,Belgium,41,51,55,65,62,0,substitute,6,190000,Club Brugge
I. Karargyris,26000,18,Greece,0,0,0,11,12,51,goalkeeper,44,180000,Olympiacos
E. Martel,104000,18,Germany,30,34,35,65,62,0,substitute,36,200000,RB Leipzig
I. Golosov,26000,18,Russia,35,38,53,60,61,0,substitute,61,170000,Spartak Moscow
N. Kotin,26000,17,Russia,31,31,38,63,60,0,substitute,13,170000,PFC CSKA Moscow
P. Osterhage,260000,20,Germany,42,54,63,43,47,0,substitute,31,200000,Borussia Dortmund
O. Ottesen,104000,21,Denmark,0,0,0,12,11,56,goalkeeper,30,100000,Midtjylland
T. Schreiber,28600,18,Germany,0,0,0,10,14,51,goalkeeper,32,120000,RB Leipzig
D. Bokov,26000,17,Russia,0,0,0,12,11,49,goalkeeper,45,50000,PFC CSKA Moscow
E. Mendy,2664000,29,France,0,0,0,0,0,88,goalkeeper,46,36000000,Chelsea
